APP_id,Rank,Title,Catogory,Total Rating,Installs,Average Rating,Growth(30 days),Growth(60 days),Price,URL
app00099,99,Design Logo Ideas - Best Logo,Art & Design,"12,145",1.0 M,4.04,1.30%,2.40%,Free,/application/design_logo_ideas_best_logo/com.designlogoideas.inojon
app00100,100,Ripl: Easily Create Social Posts in Minutes,Art & Design,"12,131",1.0 M,4.03,0.90%,2.40%,Free,/application/ripl_easily_create_social_posts_in_minutes/com.ripl.android
app00101,101,🔥 Lionel Messi Wallpaper HD,Art & Design,"11,971",500.0 k,4.72,4.00%,8.30%,Free,/application/_lionel_messi_wallpaper_hd/com.messiwallpaper.lionelmessiwallpaper.Leomessi
app00102,102,"Invitation Maker - eCards, Greeting Cards, Invites",Art & Design,"11,945",500.0 k,4.58,1.60%,2.90%,Free,/application/invitation_maker_ecards_greeting_cards_invites/com.optimumbrewlab.invitationcardmaker
app00103,103,Calligrapher,Art & Design,"11,933",1.0 M,4.31,1.50%,3.60%,Free,/application/calligrapher/com.mark.calligraphy
app00104,104,AnimeMaker,Art & Design,"11,722",1.0 M,3.47,4.10%,8.10%,Free,/application/animemaker/kenmaz.net.animemaker
app00105,105,Creative school supplies DIY,Art & Design,"11,684",1.0 M,4.15,19.70%,79.20%,Free,/application/creative_school_supplies_diy/handmade.smartroom.com.handmadecancelar
app00106,106,صور و حالات,Art & Design,"11,312",1.0 M,4.59,0.50%,1.70%,Free,/application/com.appstore.albums/com.appstore.albums
app00107,107,"How to draw animals step by step, drawing lessons",Art & Design,"11,113",1.0 M,4.59,10.60%,34.70%,Free,/application/how_to_draw_animals_step_by_step_drawing_lessons/udenity.draw.animals
app00108,108,How to make school supplies,Art & Design,"11,001",1.0 M,4.47,7.70%,29.20%,Free,/application/how_to_make_school_supplies/skywave.chancellery
app00109,109,Glitter dress coloring and drawing book for Kids,Art & Design,"10,903",10.0 M,3.7,16.90%,44.50%,Free,/application/glitter_dress_coloring_and_drawing_book_for_kids/com.redberry.glitterdressa2
